Skills,Experience (Years),Education,Certifications,Job Role,Projects Count,strength
"Pytorch, TensorFlow, NLP, Python",0,B.Tech,Deep Learning Specialization,AI Researcher,10,Strong
"Python, NLP",7,B.Tech,Deep Learning Specialization,AI Researcher,10,Strong
"Ethical Hacking, Cybersecurity",3,B.Sc,Deep Learning Specialization,Cybersecurity Analyst,2,Average
"Pytorch, NLP",1,M.Tech,None,AI Researcher,5,Weak
"NLP, Pytorch, Python",10,B.Tech,Google ML,AI Researcher,2,Strong
"SQL, Python",10,B.Tech,AWS Certified,Data Scientist,4,Strong
"Python, SQL",4,PhD,None,Data Scientist,10,Strong
"Ethical Hacking, Networking, Linux",1,B.Sc,None,Cybersecurity Analyst,10,Strong
"Deep Learning, Machine Learning, SQL, Python",8,M.Tech,AWS Certified,Data Scientist,4,Strong
"TensorFlow, Python, Pytorch",9,B.Sc,Deep Learning Specialization,AI Researcher,4,Strong
"Networking, Linux, Ethical Hacking",0,M.Tech,Deep Learning Specialization,Cybersecurity Analyst,10,Strong
"NLP, Pytorch",7,PhD,AWS Certified,AI Researcher,6,Strong
"Python, NLP",7,M.Tech,Google ML,AI Researcher,3,Strong
"C++, SQL, Java",5,B.Tech,Google ML,Software Engineer,7,Strong
"Linux, Cybersecurity",7,PhD,None,Cybersecurity Analyst,0,Strong
"SQL, Python",1,MBA,AWS Certified,Data Scientist,8,Average
"C++, React",10,MBA,AWS Certified,Software Engineer,9,Strong
"Networking, Linux",1,M.Tech,AWS Certified,Cybersecurity Analyst,10,Strong
"NLP, TensorFlow, Python",3,M.Tech,None,AI Researcher,10,Strong
"Machine Learning, Python",1,MBA,Deep Learning Specialization,Data Scientist,8,Average
"SQL, Python, Machine Learning",4,M.Tech,AWS Certified,Data Scientist,6,Strong
"SQL, Java",5,B.Sc,AWS Certified,Software Engineer,4,Strong
"SQL, Java, C++, React",4,MBA,AWS Certified,Software Engineer,9,Strong
"Python, Machine Learning",8,PhD,Google ML,Data Scientist,9,Strong
"React, SQL, Java",1,MBA,Deep Learning Specialization,Software Engineer,9,Strong
"Pytorch, Python",5,B.Tech,Deep Learning Specialization,AI Researcher,1,Strong
"Python, NLP, TensorFlow, Pytorch",5,PhD,None,AI Researcher,9,Strong
"Ethical Hacking, Cybersecurity, Linux",9,M.Tech,None,Cybersecurity Analyst,3,Strong
"SQL, Deep Learning, Machine Learning",1,MBA,None,Data Scientist,4,Weak
"Python, SQL, Machine Learning",9,B.Sc,Google ML,Data Scientist,2,Strong
"Python, SQL, Machine Learning",0,B.Tech,AWS Certified,Data Scientist,7,Average
"Cybersecurity, Networking, Ethical Hacking",1,B.Sc,Google ML,Cybersecurity Analyst,4,Average
"C++, Java, SQL, React",3,B.Sc,Google ML,Software Engineer,3,Strong
"Networking, Cybersecurity, Ethical Hacking, Linux",1,B.Sc,AWS Certified,Cybersecurity Analyst,3,Average
"TensorFlow, Pytorch",2,B.Sc,None,AI Researcher,1,Weak
"Java, React",6,PhD,Google ML,Software Engineer,4,Strong
"Python, Pytorch",0,B.Tech,Deep Learning Specialization,AI Researcher,10,Average
"SQL, Deep Learning, Machine Learning, Python",8,B.Sc,None,Data Scientist,9,Strong
"Machine Learning, Deep Learning, Python",9,M.Tech,Google ML,Data Scientist,3,Strong
"C++, React, Java, SQL",9,M.Tech,None,Software Engineer,8,Strong
"Deep Learning, Python, Machine Learning, SQL",10,MBA,Deep Learning Specialization,Data Scientist,2,Strong
"Java, React, C++",1,PhD,None,Software Engineer,3,Weak
"Java, C++, React, SQL",8,B.Sc,None,Software Engineer,1,Strong
"Pytorch, Python, TensorFlow, NLP",9,M.Tech,Google ML,AI Researcher,4,Strong
"Linux, Networking, Ethical Hacking, Cybersecurity",9,M.Tech,Google ML,Cybersecurity Analyst,3,Strong
"SQL, Python, Machine Learning, Deep Learning",1,B.Tech,AWS Certified,Data Scientist,1,Weak
"Pytorch, TensorFlow, NLP",8,PhD,Deep Learning Specialization,AI Researcher,0,Strong
"Ethical Hacking, Networking, Linux",0,MBA,Google ML,Cybersecurity Analyst,7,Average
"Python, SQL, Machine Learning, Deep Learning",0,M.Tech,Deep Learning Specialization,Data Scientist,6,Average
"Java, SQL",5,MBA,AWS Certified,Software Engineer,6,Strong
"TensorFlow, NLP",9,B.Sc,Deep Learning Specialization,AI Researcher,4,Strong
"Java, React, SQL, C++",4,B.Tech,Deep Learning Specialization,Software Engineer,8,Strong
"Python, Machine Learning",0,M.Tech,Deep Learning Specialization,Data Scientist,0,Weak
"Cybersecurity, Ethical Hacking, Linux, Networking",7,PhD,None,Cybersecurity Analyst,1,Strong
"TensorFlow, Python",1,MBA,None,AI Researcher,6,Average
"Deep Learning, Python, Machine Learning, SQL",6,B.Sc,Deep Learning Specialization,Data Scientist,4,Strong
"NLP, TensorFlow, Pytorch",7,MBA,None,AI Researcher,4,Strong
"React, C++",1,PhD,Deep Learning Specialization,Software Engineer,10,Strong
"C++, Java",9,M.Tech,Deep Learning Specialization,Software Engineer,4,Strong
"Python, NLP, TensorFlow",10,B.Tech,None,AI Researcher,2,Strong
"Java, SQL, C++",0,B.Sc,AWS Certified,Software Engineer,2,Weak
"Java, React, C++",8,M.Tech,None,Software Engineer,2,Strong
"SQL, Deep Learning, Python, Machine Learning",6,M.Tech,Deep Learning Specialization,Data Scientist,10,Strong
"Python, Pytorch",7,B.Sc,None,AI Researcher,7,Strong
"React, SQL, Java",5,PhD,Google ML,Software Engineer,10,Strong
"Linux, Ethical Hacking, Cybersecurity, Networking",10,M.Tech,None,Cybersecurity Analyst,8,Strong
"NLP, TensorFlow",4,MBA,Google ML,AI Researcher,7,Strong
"Pytorch, TensorFlow, Python",4,MBA,Google ML,AI Researcher,6,Strong
"TensorFlow, NLP, Pytorch",5,B.Sc,AWS Certified,AI Researcher,0,Strong
"NLP, Pytorch",0,B.Sc,Deep Learning Specialization,AI Researcher,10,Average
"Java, SQL, C++",9,B.Tech,Google ML,Software Engineer,8,Strong
"TensorFlow, Pytorch, Python, NLP",1,B.Sc,AWS Certified,AI Researcher,4,Average
"TensorFlow, NLP, Pytorch, Python",4,PhD,Deep Learning Specialization,AI Researcher,2,Strong
"TensorFlow, Pytorch, NLP, Python",6,B.Tech,AWS Certified,AI Researcher,9,Strong
"Python, Deep Learning",6,PhD,Google ML,Data Scientist,8,Strong
"SQL, Java, React",6,B.Sc,Google ML,Software Engineer,3,Strong
"Linux, Cybersecurity",1,M.Tech,Google ML,Cybersecurity Analyst,3,Weak
"Ethical Hacking, Cybersecurity",8,B.Tech,Deep Learning Specialization,Cybersecurity Analyst,3,Strong
"Ethical Hacking, Networking",2,MBA,Deep Learning Specialization,Cybersecurity Analyst,3,Average
"Ethical Hacking, Networking, Linux",8,PhD,None,Cybersecurity Analyst,7,Strong
"Java, SQL",5,B.Tech,Google ML,Software Engineer,1,Strong
"Deep Learning, Machine Learning, SQL",7,B.Tech,AWS Certified,Data Scientist,6,Strong
"NLP, Python, TensorFlow",9,B.Tech,AWS Certified,AI Researcher,0,Strong
"Python, Deep Learning, Machine Learning",2,B.Tech,Deep Learning Specialization,Data Scientist,2,Average
"Python, Machine Learning, SQL",4,B.Tech,None,Data Scientist,6,Strong
"Ethical Hacking, Linux, Networking, Cybersecurity",7,MBA,None,Cybersecurity Analyst,3,Strong
"Java, React",9,B.Tech,Google ML,Software Engineer,0,Strong
"Machine Learning, SQL, Deep Learning",5,B.Tech,Deep Learning Specialization,Data Scientist,4,Strong
"SQL, Python, Machine Learning, Deep Learning",3,MBA,Deep Learning Specialization,Data Scientist,1,Average
"Pytorch, TensorFlow",0,B.Sc,Deep Learning Specialization,AI Researcher,3,Weak
"C++, Java",2,MBA,Deep Learning Specialization,Software Engineer,2,Average
"NLP, TensorFlow, Pytorch",9,PhD,None,AI Researcher,9,Strong
"Networking, Cybersecurity, Linux, Ethical Hacking",10,B.Tech,None,Cybersecurity Analyst,10,Strong
"React, C++, Java",5,PhD,AWS Certified,Software Engineer,10,Strong
"React, Java, SQL",4,MBA,Google ML,Software Engineer,9,Strong
"React, C++, Java, SQL",5,MBA,Deep Learning Specialization,Software Engineer,8,Strong
"Java, React",6,B.Sc,Google ML,Software Engineer,0,Strong
"Python, TensorFlow, Pytorch, NLP",4,B.Sc,AWS Certified,AI Researcher,2,Strong
"Linux, Networking, Cybersecurity, Ethical Hacking",7,PhD,None,Cybersecurity Analyst,3,Strong
"SQL, Java",1,PhD,AWS Certified,Software Engineer,9,Strong
"Java, C++, React",6,MBA,AWS Certified,Software Engineer,10,Strong
"SQL, Python",9,B.Sc,Deep Learning Specialization,Data Scientist,2,Strong
"Machine Learning, Python, Deep Learning, SQL",5,M.Tech,Deep Learning Specialization,Data Scientist,5,Strong
"Pytorch, Python",3,MBA,Deep Learning Specialization,AI Researcher,0,Average
"Linux, Networking, Ethical Hacking, Cybersecurity",8,B.Sc,AWS Certified,Cybersecurity Analyst,5,Strong
"Python, NLP, Pytorch",3,B.Sc,Deep Learning Specialization,AI Researcher,0,Average
"NLP, Python, Pytorch, TensorFlow",1,B.Sc,AWS Certified,AI Researcher,4,Average
"Java, C++, SQL",0,B.Sc,None,Software Engineer,3,Weak
"Ethical Hacking, Networking, Linux, Cybersecurity",8,B.Sc,Deep Learning Specialization,Cybersecurity Analyst,4,Strong
"C++, Java, React, SQL",1,PhD,None,Software Engineer,0,Weak
"TensorFlow, NLP, Python, Pytorch",6,B.Sc,Deep Learning Specialization,AI Researcher,3,Strong
"Networking, Cybersecurity",7,B.Sc,None,Cybersecurity Analyst,0,Strong
"Linux, Cybersecurity, Ethical Hacking",4,M.Tech,None,Cybersecurity Analyst,5,Strong
"Machine Learning, Python, SQL",10,M.Tech,Google ML,Data Scientist,3,Strong
"Deep Learning, SQL, Python, Machine Learning",4,M.Tech,None,Data Scientist,7,Strong
"Ethical Hacking, Cybersecurity, Networking, Linux",3,MBA,Google ML,Cybersecurity Analyst,1,Average
"Deep Learning, Python, SQL",3,B.Sc,Google ML,Data Scientist,2,Average
"Cybersecurity, Ethical Hacking, Linux",9,B.Tech,Deep Learning Specialization,Cybersecurity Analyst,2,Strong
"SQL, Machine Learning, Deep Learning, Python",5,B.Tech,None,Data Scientist,3,Strong
"Networking, Linux, Cybersecurity, Ethical Hacking",10,MBA,Deep Learning Specialization,Cybersecurity Analyst,0,Strong
"TensorFlow, Pytorch, Python",5,B.Tech,Google ML,AI Researcher,5,Strong
"TensorFlow, Pytorch, NLP",10,M.Tech,AWS Certified,AI Researcher,8,Strong
"SQL, Python, Deep Learning, Machine Learning",10,PhD,None,Data Scientist,1,Strong
"Python, Machine Learning",8,PhD,AWS Certified,Data Scientist,4,Strong
"TensorFlow, NLP, Pytorch",6,B.Tech,Deep Learning Specialization,AI Researcher,0,Strong
"Python, Machine Learning",9,B.Sc,Google ML,Data Scientist,2,Strong
"Ethical Hacking, Networking, Linux",3,B.Tech,Google ML,Cybersecurity Analyst,7,Strong
"SQL, React, Java",6,PhD,AWS Certified,Software Engineer,10,Strong
"Python, Machine Learning, SQL, Deep Learning",7,PhD,AWS Certified,Data Scientist,2,Strong
"Python, Deep Learning, SQL, Machine Learning",7,B.Tech,Google ML,Data Scientist,0,Strong
"Ethical Hacking, Linux, Cybersecurity",5,MBA,Deep Learning Specialization,Cybersecurity Analyst,8,Strong
"Cybersecurity, Ethical Hacking, Networking, Linux",6,M.Tech,None,Cybersecurity Analyst,2,Strong
"Linux, Ethical Hacking, Networking, Cybersecurity",6,B.Sc,AWS Certified,Cybersecurity Analyst,5,Strong
"Pytorch, TensorFlow, Python",2,PhD,None,AI Researcher,1,Weak
"Ethical Hacking, Linux",6,B.Sc,AWS Certified,Cybersecurity Analyst,9,Strong
"Cybersecurity, Linux",2,MBA,Deep Learning Specialization,Cybersecurity Analyst,1,Weak
"SQL, Machine Learning",3,PhD,Deep Learning Specialization,Data Scientist,9,Strong
"SQL, Machine Learning",5,M.Tech,AWS Certified,Data Scientist,8,Strong
"Linux, Cybersecurity",5,M.Tech,None,Cybersecurity Analyst,10,Strong
"TensorFlow, NLP, Python",1,M.Tech,None,AI Researcher,2,Weak
"Networking, Cybersecurity, Linux, Ethical Hacking",7,M.Tech,Google ML,Cybersecurity Analyst,10,Strong
"Deep Learning, SQL",2,PhD,None,Data Scientist,3,Weak
"Pytorch, NLP, Python",3,M.Tech,AWS Certified,AI Researcher,6,Strong
"Networking, Cybersecurity, Ethical Hacking",2,B.Sc,Google ML,Cybersecurity Analyst,7,Strong
"Java, C++, React, SQL",9,B.Sc,Deep Learning Specialization,Software Engineer,2,Strong
"Python, Machine Learning",7,M.Tech,None,Data Scientist,0,Strong
"Networking, Ethical Hacking, Cybersecurity",8,MBA,None,Cybersecurity Analyst,1,Strong
"Deep Learning, SQL, Python",3,B.Sc,AWS Certified,Data Scientist,6,Strong
"React, SQL, C++",3,B.Tech,Google ML,Software Engineer,5,Strong
"SQL, Python",9,PhD,Deep Learning Specialization,Data Scientist,8,Strong
"Machine Learning, Deep Learning, Python, SQL",6,MBA,None,Data Scientist,4,Strong
"SQL, Machine Learning, Python, Deep Learning",9,B.Sc,Google ML,Data Scientist,2,Strong
"C++, React",1,MBA,None,Software Engineer,3,Weak
"SQL, Deep Learning, Python, Machine Learning",8,B.Sc,Google ML,Data Scientist,5,Strong
"Pytorch, TensorFlow",3,MBA,None,AI Researcher,7,Strong
"Networking, Cybersecurity, Ethical Hacking",8,MBA,None,Cybersecurity Analyst,4,Strong
"Java, React",6,PhD,Deep Learning Specialization,Software Engineer,7,Strong
"Machine Learning, Deep Learning, SQL, Python",1,PhD,None,Data Scientist,7,Average
"Pytorch, NLP",0,B.Sc,None,AI Researcher,7,Weak
"SQL, Deep Learning, Python",5,PhD,None,Data Scientist,3,Strong
"React, Java, C++, SQL",7,M.Tech,Deep Learning Specialization,Software Engineer,3,Strong
"Java, C++, React, SQL",5,MBA,Deep Learning Specialization,Software Engineer,7,Strong
"Pytorch, Python",0,B.Sc,Deep Learning Specialization,AI Researcher,7,Average
"NLP, TensorFlow, Python",0,MBA,Deep Learning Specialization,AI Researcher,3,Weak
"SQL, Python, Machine Learning, Deep Learning",3,M.Tech,Google ML,Data Scientist,5,Strong
"React, SQL, Java, C++",1,PhD,AWS Certified,Software Engineer,5,Average
"Linux, Cybersecurity, Ethical Hacking",8,B.Sc,Deep Learning Specialization,Cybersecurity Analyst,8,Strong
"Linux, Ethical Hacking",1,PhD,AWS Certified,Cybersecurity Analyst,3,Weak
"TensorFlow, NLP, Python",3,MBA,Deep Learning Specialization,AI Researcher,10,Strong
"Machine Learning, SQL, Python",10,PhD,None,Data Scientist,6,Strong
"Pytorch, Python, TensorFlow, NLP",9,B.Sc,AWS Certified,AI Researcher,5,Strong
"Pytorch, Python",7,B.Tech,None,AI Researcher,6,Strong
"Python, Deep Learning",8,PhD,None,Data Scientist,10,Strong
"C++, SQL, Java",1,PhD,Deep Learning Specialization,Software Engineer,7,Average
"Ethical Hacking, Cybersecurity, Linux",3,M.Tech,Deep Learning Specialization,Cybersecurity Analyst,0,Average
"Python, TensorFlow",1,B.Sc,Deep Learning Specialization,AI Researcher,4,Average
"Cybersecurity, Ethical Hacking, Linux, Networking",8,MBA,Google ML,Cybersecurity Analyst,8,Strong
"TensorFlow, NLP",6,PhD,Google ML,AI Researcher,1,Strong
"Ethical Hacking, Cybersecurity, Networking",8,B.Tech,None,Cybersecurity Analyst,0,Strong
"NLP, Python, TensorFlow",1,PhD,Deep Learning Specialization,AI Researcher,7,Average
"Java, C++",9,MBA,Google ML,Software Engineer,3,Strong
"NLP, Pytorch, Python, TensorFlow",10,B.Sc,None,AI Researcher,4,Strong
"Ethical Hacking, Linux, Cybersecurity, Networking",7,MBA,None,Cybersecurity Analyst,10,Strong
"C++, React",2,B.Sc,AWS Certified,Software Engineer,5,Average
"Cybersecurity, Ethical Hacking, Networking, Linux",1,M.Tech,Deep Learning Specialization,Cybersecurity Analyst,6,Average
"Python, NLP, TensorFlow",2,M.Tech,Google ML,AI Researcher,4,Average
"Machine Learning, Python, Deep Learning",3,B.Tech,AWS Certified,Data Scientist,4,Strong
"Networking, Linux, Ethical Hacking",7,B.Tech,Google ML,Cybersecurity Analyst,3,Strong
"C++, SQL",2,MBA,Google ML,Software Engineer,1,Weak
"SQL, Java",1,B.Tech,Google ML,Software Engineer,7,Average
"TensorFlow, Python, NLP",3,B.Tech,None,AI Researcher,3,Average
"Linux, Ethical Hacking, Cybersecurity, Networking",8,M.Tech,AWS Certified,Cybersecurity Analyst,3,Strong
"SQL, Deep Learning, Python, Machine Learning",7,B.Sc,None,Data Scientist,10,Strong
"TensorFlow, Python, NLP, Pytorch",8,MBA,AWS Certified,AI Researcher,8,Strong
"Linux, Networking, Cybersecurity, Ethical Hacking",1,B.Sc,None,Cybersecurity Analyst,10,Strong
"Pytorch, TensorFlow, Python, NLP",10,PhD,Google ML,AI Researcher,2,Strong
"Cybersecurity, Linux",9,PhD,None,Cybersecurity Analyst,0,Strong
"Python, NLP",1,M.Tech,Google ML,AI Researcher,1,Weak
"Python, TensorFlow, Pytorch, NLP",6,B.Sc,None,AI Researcher,4,Strong
"Java, SQL",8,M.Tech,Deep Learning Specialization,Software Engineer,4,Strong
"Linux, Ethical Hacking, Cybersecurity",4,PhD,AWS Certified,Cybersecurity Analyst,1,Average
"Cybersecurity, Networking",1,B.Tech,Google ML,Cybersecurity Analyst,6,Average
"Python, Deep Learning, Machine Learning",2,B.Tech,Deep Learning Specialization,Data Scientist,4,Average
"Linux, Networking, Ethical Hacking",7,B.Sc,None,Cybersecurity Analyst,6,Strong
"Python, Pytorch",3,PhD,Deep Learning Specialization,AI Researcher,8,Strong
"Cybersecurity, Networking, Ethical Hacking",2,M.Tech,AWS Certified,Cybersecurity Analyst,10,Strong
"Python, NLP, Pytorch",1,MBA,Google ML,AI Researcher,1,Weak
"React, C++, Java, SQL",0,M.Tech,AWS Certified,Software Engineer,8,Average
"Deep Learning, Python",3,MBA,AWS Certified,Data Scientist,4,Average
"SQL, Java, C++, React",9,M.Tech,None,Software Engineer,5,Strong
"Cybersecurity, Linux, Networking",0,MBA,Deep Learning Specialization,Cybersecurity Analyst,7,Average
"React, SQL",7,B.Tech,AWS Certified,Software Engineer,0,Strong
"Ethical Hacking, Linux, Cybersecurity, Networking",1,B.Tech,Deep Learning Specialization,Cybersecurity Analyst,8,Strong
"Python, Deep Learning",5,B.Tech,None,Data Scientist,3,Strong
"Python, TensorFlow, NLP, Pytorch",8,PhD,AWS Certified,AI Researcher,5,Strong
"Deep Learning, SQL",1,M.Tech,Google ML,Data Scientist,4,Average
"Linux, Ethical Hacking",10,MBA,Deep Learning Specialization,Cybersecurity Analyst,0,Strong
"Deep Learning, Machine Learning, Python, SQL",5,B.Tech,AWS Certified,Data Scientist,7,Strong
"C++, SQL, React",8,B.Tech,Google ML,Software Engineer,4,Strong
"Linux, Networking",0,B.Tech,AWS Certified,Cybersecurity Analyst,6,Average
"NLP, Pytorch",2,B.Sc,Deep Learning Specialization,AI Researcher,8,Strong
"Deep Learning, Python, SQL",2,B.Sc,Deep Learning Specialization,Data Scientist,8,Strong
"Cybersecurity, Ethical Hacking, Linux",7,MBA,AWS Certified,Cybersecurity Analyst,4,Strong
"Deep Learning, Machine Learning, SQL",5,B.Sc,Google ML,Data Scientist,4,Strong
"SQL, Java, React, C++",4,MBA,Deep Learning Specialization,Software Engineer,5,Strong
"React, Java",2,MBA,AWS Certified,Software Engineer,8,Strong
"Python, NLP, TensorFlow, Pytorch",9,B.Tech,AWS Certified,AI Researcher,10,Strong
"Pytorch, NLP, TensorFlow, Python",7,M.Tech,AWS Certified,AI Researcher,9,Strong
"TensorFlow, Python, Pytorch",8,PhD,None,AI Researcher,1,Strong
"SQL, Machine Learning",2,B.Tech,None,Data Scientist,2,Weak
"React, C++, SQL, Java",7,MBA,Deep Learning Specialization,Software Engineer,5,Strong
"NLP, Pytorch, TensorFlow",6,B.Tech,Deep Learning Specialization,AI Researcher,4,Strong
"Java, C++, React",9,M.Tech,None,Software Engineer,1,Strong
"Cybersecurity, Linux",8,B.Sc,Google ML,Cybersecurity Analyst,10,Strong
"SQL, Machine Learning, Deep Learning",0,B.Tech,Deep Learning Specialization,Data Scientist,2,Weak
"TensorFlow, Pytorch, Python",8,B.Tech,AWS Certified,AI Researcher,6,Strong
"Python, Pytorch",7,B.Sc,Google ML,AI Researcher,2,Strong
"Ethical Hacking, Linux, Networking",1,PhD,AWS Certified,Cybersecurity Analyst,10,Strong
"TensorFlow, NLP",10,B.Sc,AWS Certified,AI Researcher,2,Strong
"Python, TensorFlow",0,M.Tech,AWS Certified,AI Researcher,1,Weak
"NLP, Python, Pytorch",1,MBA,AWS Certified,AI Researcher,0,Weak
"NLP, TensorFlow",7,MBA,Google ML,AI Researcher,1,Strong
"Networking, Ethical Hacking",0,M.Tech,AWS Certified,Cybersecurity Analyst,5,Weak
"SQL, React",10,B.Tech,Deep Learning Specialization,Software Engineer,5,Strong
"SQL, Machine Learning, Deep Learning, Python",8,M.Tech,Google ML,Data Scientist,8,Strong
"Cybersecurity, Linux, Networking, Ethical Hacking",9,PhD,Deep Learning Specialization,Cybersecurity Analyst,4,Strong
"Machine Learning, SQL, Python",0,PhD,Google ML,Data Scientist,7,Average
"Ethical Hacking, Cybersecurity",0,B.Sc,None,Cybersecurity Analyst,8,Average
"Linux, Cybersecurity",2,PhD,AWS Certified,Cybersecurity Analyst,1,Weak
"NLP, Pytorch, Python",8,MBA,None,AI Researcher,3,Strong
"Networking, Linux",3,M.Tech,Deep Learning Specialization,Cybersecurity Analyst,7,Strong
"NLP, TensorFlow",7,PhD,Deep Learning Specialization,AI Researcher,0,Strong
"Deep Learning, Machine Learning, Python",3,MBA,AWS Certified,Data Scientist,1,Average
"React, C++, SQL, Java",4,B.Tech,Deep Learning Specialization,Software Engineer,7,Strong
"Cybersecurity, Networking, Ethical Hacking",6,M.Tech,AWS Certified,Cybersecurity Analyst,8,Strong
"Deep Learning, Machine Learning",0,PhD,Google ML,Data Scientist,1,Weak
"C++, SQL, React",10,M.Tech,Deep Learning Specialization,Software Engineer,5,Strong
"Python, TensorFlow, Pytorch, NLP",9,MBA,Google ML,AI Researcher,1,Strong
"Pytorch, Python, NLP, TensorFlow",0,M.Tech,Deep Learning Specialization,AI Researcher,9,Strong
"Python, TensorFlow",3,B.Sc,None,AI Researcher,3,Average
"Python, Deep Learning",7,B.Tech,None,Data Scientist,2,Strong
"Ethical Hacking, Cybersecurity, Networking",2,PhD,Deep Learning Specialization,Cybersecurity Analyst,5,Average
"C++, React, SQL, Java",2,MBA,None,Software Engineer,1,Weak
"Python, SQL, Deep Learning",10,B.Tech,None,Data Scientist,8,Strong
"Python, Deep Learning, SQL, Machine Learning",2,M.Tech,None,Data Scientist,7,Strong
"Ethical Hacking, Networking",6,MBA,Deep Learning Specialization,Cybersecurity Analyst,4,Strong
"TensorFlow, Python",2,PhD,Deep Learning Specialization,AI Researcher,9,Strong
"Cybersecurity, Networking, Linux",2,B.Sc,AWS Certified,Cybersecurity Analyst,3,Average
"Machine Learning, Python, SQL",6,B.Tech,None,Data Scientist,5,Strong
"Java, C++, React, SQL",4,B.Sc,None,Software Engineer,8,Strong
"Pytorch, Python, NLP, TensorFlow",9,MBA,Deep Learning Specialization,AI Researcher,3,Strong
"Deep Learning, Python, Machine Learning, SQL",2,B.Sc,None,Data Scientist,6,Average
"Networking, Linux, Ethical Hacking, Cybersecurity",2,B.Sc,Deep Learning Specialization,Cybersecurity Analyst,2,Average
"Networking, Cybersecurity, Linux, Ethical Hacking",8,MBA,Google ML,Cybersecurity Analyst,4,Strong
"SQL, Deep Learning",6,B.Tech,Google ML,Data Scientist,6,Strong
"Python, Pytorch, TensorFlow",1,M.Tech,None,AI Researcher,10,Strong
"Linux, Ethical Hacking",10,M.Tech,Google ML,Cybersecurity Analyst,9,Strong
"React, Java, SQL, C++",5,PhD,Deep Learning Specialization,Software Engineer,10,Strong
"NLP, Python, TensorFlow, Pytorch",2,PhD,Deep Learning Specialization,AI Researcher,10,Strong
"Python, NLP",8,B.Sc,Google ML,AI Researcher,10,Strong
"SQL, Python, Machine Learning",6,B.Sc,AWS Certified,Data Scientist,9,Strong
"React, SQL, C++",1,MBA,None,Software Engineer,10,Strong
"Machine Learning, SQL, Python",4,B.Sc,Google ML,Data Scientist,8,Strong
"Python, SQL",1,MBA,Deep Learning Specialization,Data Scientist,7,Average
"Deep Learning, SQL",6,B.Tech,AWS Certified,Data Scientist,0,Strong
"SQL, Java",3,B.Tech,None,Software Engineer,8,Strong
"Cybersecurity, Ethical Hacking, Networking",0,B.Tech,None,Cybersecurity Analyst,7,Average
"SQL, Machine Learning, Python, Deep Learning",6,B.Sc,Google ML,Data Scientist,8,Strong
"Deep Learning, SQL, Python, Machine Learning",1,PhD,Deep Learning Specialization,Data Scientist,1,Weak
"C++, SQL",5,M.Tech,Google ML,Software Engineer,5,Strong
"Networking, Ethical Hacking, Linux, Cybersecurity",10,M.Tech,Google ML,Cybersecurity Analyst,5,Strong
"Cybersecurity, Ethical Hacking, Linux",1,MBA,AWS Certified,Cybersecurity Analyst,10,Strong
"Cybersecurity, Networking, Ethical Hacking, Linux",2,B.Sc,None,Cybersecurity Analyst,4,Average
"Machine Learning, Python, Deep Learning",2,B.Tech,Deep Learning Specialization,Data Scientist,7,Strong
"TensorFlow, Python, NLP",9,M.Tech,AWS Certified,AI Researcher,0,Strong
